Sentiment,Text
1,"@amazon_twit First Frank Lloyd Wright legos and now Indiana Jones! I'm 36 but somewhat tempted. Oh my gosh, I hope I start working soon "
0,@amazondotjon Can you ask Ryan why he stopped following me on Twitter
0,"@amazondotjon http://twitpic.com/7ylq3 - Lucky you! It's hard to remember what the sun and clear skies even look like in NYC, nowadays. "
0,"@amazondotjon if you quit twitter, you're not my favorite anymore "
0,"@Amazonian_Senna Aww! That makes me sad, don't do that! "
1,@Amazonian_Senna ha ha I will while I'm here
0,@asamidori he only works for SE...
1,@asamiramirez its the dsi that I want to get!!! I have a pink ds and its called fishie
0,@asamiramirez watercolors are hard for me to use :/ they never come out the way i want them to
0,@asamiramirez yeah I would love to check it out in person! It looks so neat! Too bad noone I know has it! LOL I wish!
0,@asandore Don't nudge me to update when you didn't respond to my tweet yesterday!
0,@asandroq What happened?
1,"@asatiir don't worry, have fun using it. I sent u a dm with my cell number"
0,@asatiir are you serious? That's not good.... I'm worried I'll be doing stuff like that if I get the job
0,@ASBFOREVER haha yep..damn i wana play guitar but cant!
0,@ASBFOREVER yeah n that was 16 years ago tht we gave him away but it feels like it was just yesterday n my friend is making it even worse
1,@asblumberg why do you like apples? Hoping to meet Mon night? Talk soon
1,"@Asbo_T Lol, I also think that mindless chatter is the most likely reason for my early release "
1,"@asbogan thanks for all you did for prom and afterprom! It was a BLAST!! Tell Ben the same, if you can We all had SO much fun!"
1,@asc2009 a test center is good at conformance testing. Does my RIPv1 implementation meet spec? stuff like that. Apples and oranges
0,@Ascasewwen Is envious at your melted cheese pasta &gt;.&lt; So would've been nice at work today
1,@ascendant: we need to talk!!! shoot me ur digits again please
1,"@aschek es tan politicamente correcto como Peter Griffin, and that's why we love him (via @JF10)"
1,"@aschernathan I love Phoenix. Faves are Funky Squaredance, Too Young and If I Ever Feel Better. Excellent choice "
1,"@aschernathan it's a long story, longer than 140. But if it makes any difference, I'm still coping great without cigarettes "
1,@aschernathan looks like theres a hashtag in place &gt; #facesinplaces
1,@aschernathan Simply joyful! Good morning mister! Glad to be home?
0,"@aschnebe just finished marley and me, cute sad movie "
0,@ASCjoellio I'm only worth $200 how did you find out this?
1,@ascrappydesign If you look at my twitter page or website (same) you will see mine.
1,@ascuteaskittens I woke up with sheepy in my arms &lt;3
1,@asdavis10 HA! I know u missed me buddy!!! *hugs* and I'm gonna change my pic just fir u!!!
0,@asdavis10 you tried to go to bed and didnt even say goodnight to the nightshift! gah!!! looks like tonight is going to be fairly dead
0,@asdfasdfghjkl I thought Mikey Darling = teh secks.
0,@asdfashleyyy i really miss my magic eight ball! ....... ( it provided me so much guidance! XD )
1,@asdfghjkaye hehehellow
1,@asdosanjh thank you
1,@Ase_ .. - I need some sex toys ..tell Kathy to hook me u..she know the hot spots
0,@Ase_ Mmm...I'll be hosting an event that day
1,@aseemsood it is amazing that you are able to take out time to do this. I would have hired labourers
1,@aselcukoglu Congratulations!!
1,"@Asenk : Hope you get well soon, Honey. I've texted @odanqi but no further info yet "
1,@amba12 there are astronauts who tweet? Perhaps you could do a #followsaturday?
1,@Amba2 ok got it so may 5th - you off?
1,@Ambah1112 Looks good girl
1,@Ambar_G I totally agree !!!
0,@ambcharlesfield lol. Ah my skin is itchy :( damn lawnmowing.
1,@AmbDuckett should be me
0,@AmbDuckett wondering why no call or text...
0,@AmbDuckett YESTERDAY!..I NEED MORE FOLLOWERS
1,@Ambee789 AGREED &amp; AGREED!
0,@Ambee789 ha! Gabbyb said you can't get into chat cause they don't like you!
0,"@Ambee789 it was awesome.... don't wanna go home Met some intense &quot;salesmen&quot; in times square tonight, found some awesome shit in a random"
0,@Ambee789 no...
1,@Ambee789 oh yeah girl! it's on now!!!! @TheRealLFO just reunited!!! lol
1,@ambelies the title of my next children's book: &quot;The Adventures of FatAss The Squirrel&quot;
0,@Amber_Bear1 i'm cheering for the Cavs too.. i want them to sweep the Magic cuz they knocked out my Celts
1,@amber_benson - followin @deadbananas after ur recommendation - funny! Like that sort of random art Thanx
1,@amber_benson The dinner parties I go to tend to not have any wine left at the end of the night.
0,@amber_benson @spacelamb Wish I was going to be there.
1,@amber_benson awesome!
1,@amber_benson did u tell her who u are or mess with her a little &amp; told her u were related to the actress?
1,"@amber_benson Did you ever sing &amp; record anything aside from stuff on A.S. Head's CD? Been looking, but not finding. Any clues? "
1,@amber_benson Hahaha. Awesome! What did you say?
0,@amber_benson http://twitpic.com/7uilx - I wanna be there! but i'm stuck in MS
0,@amber_benson I didn't even know about the Common Rotation show for some reason. Sad I missed it
0,@amber_benson If it was in VA I would definatly be there but alas the plane tix would kill me. I am a starvin artist but i love my fam
1,"@amber_benson In Europe it's breakfast time. I'll gonna make myself a coffee, maybe one for you too "
1,"@amber_benson LOL! tara was so well loved and still is! Just the cross you have to bear. But as crosses go, its a good one "
1,@amber_benson Looks like fun doing the Macarena with a live band!
1,@amber_benson Loved it! You continue to delight us Amber. Great job on the backing and the video by @adambusch. Kudos.
1,@amber_benson loved the #MacarAMBER!!!
1,"@amber_benson No, but I follow you, and that's much better "
0,"@amber_benson No, I can't afford it this year. "
1,"@amber_benson oh no, the one day i didnt go into uni =(. if u decide to do the harbour bridge climb, make sure you go to the bathroom 1st "
1,@amber_benson the Macarena never looked so good. Loved the &quot;Aaaaiieee&quot; squeak / exclamation
1,"@amber_benson Thx for signing my book, my 1st chick lit! "
1,"@amber_benson Well you know you always have plenty of ppl on Twitter to chat with, right? Many in timezones opposite to yours... "
1,"@amber_benson Well, to be fair, you DO look a lot like Tara. "
1,@amber_benson What did you tell her??
0,@Asenk : Yay for writing a novel! XD Miss you too
1,@asexiness Congratulations
0,@asexiness me too That's why people schedule rewatches during that time and converse over Skype whilst watching
0,@asexiness Sucks indeed.
1,@asexiness That's true you will! That's awesome! I'm happy you are!
1,"@Asfaq dude, saw your Twitter profile after a long time - love the background. way way cool! "
0,"@Asfaq no re... i think i shall hv to let it pass. Got a lot of work to wrap up, in office I hope you guys have a blast, out there x-D"
1,"@Asfaq omg u njoi it, ur life is wasted man! and btw i rarely 'poke' any1 nd im too conscientious, "
1,"@Asfaq Thanks so much, I'm glad you liked them "
0,@Asgardian2 Yeah we're okay. Just got home. Totally lame. Gonna have some fun pics to post later today of the crash. Stupid cab.
1,@ash__tisdale thank you so much.congratulations for your award too. You really deserve it i love you.
1,@ash_7465 hey! you are awesome for being a tegan and sara fan! follow them on their official twitter @theteganandsara
1,@ash_786 It's no secret I'm an apple boy! Have considered the iphone dark side MANY times
1,"@ash_housewares maybe you're my backup soulmate? sike. but I am totally in love with cherry dr. pepper, gene simmons tells me to be "
1,@ash_incomprendo my creativity is gone wit u.. so whn ya com bak things will get better....
0,"@ash_kay its ok mamas, we jus gotta chill again i missed you guys! like almost 2am"
1,@Ash_P_21 thats sounds like a plan !!! xx
1,@ash_phillips aww sif. That's awesome!
1,@Ash_Pie wow...i remember when you got the call saying you had the job. we went shopping and saw a movie together the day before.
1,@ash_powell_21 HI !! r u givin twitter a chance ? u will lv it soon anyways ope u okies x x
1,@ash_riot
0,@ash_riot @GoldLeader i just wikipediad smegma
0,@ash_riot i miss those days
1,"@ash_ums how was Santana? And also...ARE U READY FOR THURDAY'S EPICNESS?! Yes, that needed to be typed in all caps...it's that serious "
1,@ash_wash been loving it since a few months ago
1,@Ash1224 Why Didnt You Invite Meee??? Lol[[: jk
0,@ash2276 hey you don't want to follow me too? *tear*
1,@ash2good99 yay were all saved! Weve overcome god again!
0,@Ash3Nicole ummm I wish lol mannnn dis shit so wack n here! Only way I'm makin a mil is if one nigga give me dat shit
1,@ash58 cute I'm sure it would hurt because there's no meat on the top of your feet...ouch!
1,@ash77ley sounds like your teacher or whatever is a biotch.
0,@Asha_White I thought you and @AndreaGabrielle were on yall SB Business???
1,@ashadihopper there's a good caleaner I used called Getosky UrArse
1,@ashadnoor Bravo...ur a conquerer of hw.
0,"@ashAfied Yeahhh, moar memory! Oh, sorry I missed out on you at HONfest yesterday. But it looks like my staff got a short clip of ur perf"
1,@ashaj Those lucky geniuses! Hope you're having a good time at home
0,@ashalahee because I am cursed with having been born in Canada one day we will get together musically!
0,@amber_benson what's the name of the web-series you're working on? i need to look it up i haven't seen you in anything for too long
1,@amber_benson you should come to Austin
0,"@amber_eubanks What's really disappointing, is when a song works, and then disappears. "
1,@Amber_Lily13 yay smokey eyes just got that one.
1,@Amber_Mentz1 Don't do anything you wont be proud of later
0,@amber_paris sorry
0,@amber_rae did you really go get in line at 4a? I'm so jealous that you're going to have the 3GS...I'm not eligible for an upgrade yet
1,"@amber_white620 I lovers you, too. "
1,@amber_white620 Oh yeaaaaaaah. Text from the phone fools.
1,"@amber893 I agree!!I think that lvatt is going to be my favourite album by them...period! (&quot;,) &lt;3..I &lt;3 #worldwarIII and #turnright"
1,"@amber893 I think we would balance each other out on the embarrasment scale! I'm just as bad! (&quot;,) &lt;3"
1,@AMBERah I shave mine in the mornings
1,@amberalert123 you better hope the &quot;dealer&quot; aka the &quot;friend&quot; doesn't call...sleep over cut short..
0,@amberama sorry at least you don't have to take 94 since it's closed.
0,"@AmberAusten Aw, I read your blog. You have all &quot;A's&quot; in your family; I have all &quot;J's.&quot; ;)"
1,"@AmberAusten good morning to you, too, sunshine! "
1,@AmberAusten LOVE IT!!!! and commented.
0,"@amberback finished half a pizza already! Found out the meat feast pizza I eat (for all of it) has 1,044 calories! :-O Now I feel fat "
1,@amberback Yeah but windows made the server 2003 so its partially windorks thought ;) But I get where your coming from
0,@amberbanana i know me too.
0,"@amberbanana Yeah. I totally thought I only got like three drops on my face. but it must've been in my hair, too. "
1,@amberbenn I would be worried for you...but since you're a superstar Im confident you will get everything done.
0,"@amberbridges i know i'm not fat... but i gained like 13lbs in 3 months. and ouch, that sounds horrible!"
1,@AmberCadabra a wonderful and restful Saturday to you too!
1,"@AmberCadabra Cool beans, as will I "
1,@AmberCadabra glad to see you up tweeting early on this Saturday morning
